instr,addr,pipe,call_count,cycles,running_time(us),detail
STP_XI_XJ_XN,282120304,SCALAR,1,262,0.150000,"dtype:B64,XI:X1=0,XJ:X1=0,XN:X2=0x107ac0,IMM:0,"
STP_XI_XJ_XN,282120324,SCALAR,1,261,0.140000,"dtype:B64,XI:X1=0,XJ:X1=0,XN:X2=0x107b00,IMM:0x30,"
STP_XI_XJ_XN,282120328,SCALAR,1,261,0.140000,"dtype:B64,XI:X1=0,XJ:X1=0,XN:X2=0x107b00,IMM:0,"
STP_XI_XJ_XN,282120320,SCALAR,1,261,0.140000,"dtype:B64,XI:X1=0,XJ:X1=0,XN:X0=0x107ae0,IMM:0,"
STP_XI_XJ_XN,282120316,SCALAR,1,261,0.140000,"dtype:B64,XI:X1=0,XJ:X1=0,XN:X0=0x107ae0,IMM:0x30,"
STP_XI_XJ_XN,282120344,SCALAR,1,260,0.140000,"dtype:B64,XI:X1=0,XJ:X1=0,XN:X0=0x107b20,IMM:0,"
STP_XI_XJ_XN,282120340,SCALAR,1,260,0.140000,"dtype:B64,XI:X1=0,XJ:X1=0,XN:X0=0x107b20,IMM:0x30,"
STP_XI_XJ_XN,282120348,SCALAR,1,260,0.140000,"dtype:B64,XI:X1=0,XJ:X1=0,XN:X2=0x107b40,IMM:0x30,"
ST_XD_XN_IMM,282120464,SCALAR,1,259,0.140000,"dtype:B64,XD:X0=0xffffffff0002ff00,XN:X30=0x108218,IMM:0x960,"
STI_XN_IMM,282120460,SCALAR,1,259,0.140000,"dtype:B16,XN:X30=0x108218,IMM:0x95a,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,282120456,SCALAR,1,259,0.140000,"dtype:B8,XN:X30=0x108218,IMM:0x958,#POST:0,#IMM_TYPE:ZERO,"
ST_XD_XN_IMM,282120480,SCALAR,1,257,0.140000,"dtype:B32,XD:X2=0x2ff00,XN:X30=0x108218,IMM:0x93c,"
LD_XD_XN_IMM,282120548,SCALAR,1,253,0.140000,"dtype:B8,XD:X3=0,XN:X2=0x107b73,IMM:0,"
ST_XD_XN_IMM,282120496,SCALAR,1,247,0.140000,"dtype:B16,XD:X3=0x101,XN:X30=0x108218,IMM:0xd84,"
ST_XD_XN_IMM,282121176,SCALAR,1,37,0.020000,"dtype:B64,XD:X1=0x6,XN:X30=0x108218,IMM:0x890,"
ST_XD_XN_IMM,282121232,SCALAR,1,37,0.020000,"dtype:B32,XD:X1=0x4000,XN:X30=0x108218,IMM:0x960,"
ST_XD_XN_IMM,282121196,SCALAR,1,29,0.020000,"dtype:B64,XD:X1=0x4,XN:X30=0x108218,IMM:0x890,"
DCCI,282121984,FLOWCTRL,1,24,0.010000,"XN:X15=0,"
ST_XD_XN_IMM,282121220,SCALAR,1,22,0.010000,"dtype:B64,XD:X1=0,XN:X30=0x108218,IMM:0x890,"
BAR,282121224,ALL,1,22,0.010000,"PIPE:ALL"
MOV_SPR_XN,282120260,MTE2,2,8,0.000000,"SPR:PADDING,XN:X1=0,id:2"
LD_XD_XN_IMM,282121180,SCALAR,1,6,0.000000,"dtype:B64,XD:X1=0,XN:X30=0x108218,IMM:0x890,"
LD_XD_XN_IMM,282121164,SCALAR,1,5,0.000000,"dtype:B64,XD:X1=0,XN:X30=0x108218,IMM:0x890,"
LD_XD_XN_IMM,282121240,SCALAR,1,5,0.000000,"dtype:B8,XD:X1=0,XN:X30=0x108218,IMM:0xd85,"
LD_XD_XN_IMM,282121200,SCALAR,1,5,0.000000,"dtype:B64,XD:X1=0,XN:X30=0x108218,IMM:0x890,"
MOV_SPR_XN,282120256,MTE1,1,4,0.000000,"SPR:L1_3D_SIZE,XN:X1=0,id:1"
MADD,282120224,SCALAR,1,3,0.000000,"dtype:S64,XD:X29=0x107fa0,XN:X15=0,XM:X17=0x8000,"
MOV_XD_SPR,282121236,SCALAR,1,1,0.000000,"XD:X1=0,SPR:SUBBLOCKID,"
MOV_XD_IMM,282120484,SCALAR,1,1,0.000000,"XD:X3=0x101,IMM:0x101,"
SUB_IMM,282120476,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x107b73,XN:X30=0x108218,IMM:0x6a5,"
MOVX8_XD_IMM,282120472,SCALAR,1,1,0.000000,"XD:X2=0x2ff00,IMM:0x5fe0,"
MOV_XD_IMM,282121228,SCALAR,1,1,0.000000,"XD:X1=0x4000,IMM:0x4000,"
INSERT_XD,282121212,SCALAR,1,1,0.000000,"XD:X1=0,IMM:0,POSITION:0x2,EXT:0,"
MOV_XD_IMM,282121976,SCALAR,1,1,0.000000,"XD:X15=0,IMM:0,"
MOVK,282120196,SCALAR,1,1,0.000000,"XD:X29=0x107fa0,IMM:0x10,UIMM:0x1,"
SUB_IMM,282120452,SCALAR,1,1,0.000000,"dtype:S64,XD:X3=0x107a90,XN:X30=0x108218,IMM:0x788,"
ADD_IMM,282120448,SCALAR,1,1,0.000000,"dtype:S64,XD:X2=0x100000,XN:X2=0x100000,IMM:0,"
MOV_XD_IMM,282120488,SCALAR,1,1,0.000000,"XD:X4=0x1,IMM:0x1,"
MOV_XD_XN,282120492,SCALAR,1,1,0.000000,"dtype:S64,XD:X2=0x107b73,XN:X0=0x107b73,"
MOV_XD_IMM,282121208,SCALAR,1,1,0.000000,"XD:X2=0x2,IMM:0x2,"
ADD_IMM,282120524,SCALAR,1,1,0.000000,"dtype:S64,XD:X1=0x1,XN:X1=0,IMM:0x1,"
ZEROEXT,282120528,SCALAR,1,1,0.000000,"dtype:U8,XD:X3=0x1,XN:X1=0x1,"
ZEROEXT,282120532,SCALAR,1,1,0.000000,"dtype:U8,XD:X5=0x1,XN:X4=0x1,"
ADD_IMM,282120536,SCALAR,1,1,0.000000,"dtype:S64,XD:X2=0x107b83,XN:X2=0x107b73,IMM:0x10,"
MOV_XD_IMM,282121192,SCALAR,1,1,0.000000,"XD:X2=0x1,IMM:0x1,"
INSERT_XD,282121188,SCALAR,1,1,0.000000,"XD:X1=0x4,IMM:0,POSITION:0x1,EXT:0,"
CMP_IMM,282120552,SCALAR,1,1,0.000000,"dtype:S64,XN:X3=0xff,IMM:0xff,cond_op:EQ,"
INSERT_XD,282121172,SCALAR,1,1,0.000000,"XD:X1=0x6,IMM:0,POSITION:0,EXT:0,"
MOV_XD_IMM,282121168,SCALAR,1,1,0.000000,"XD:X2=0,IMM:0,"
MOV_XD_IMM,282120236,SCALAR,1,1,0.000000,"XD:X1=0,IMM:0,"
SUB_IMM,282120336,SCALAR,1,1,0.000000,"dtype:S64,XD:X2=0x107b40,XN:X30=0x108218,IMM:0x6d8,"
SUB_IMM,282120332,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x107b20,XN:X30=0x108218,IMM:0x6f8,"
SUB_IMM,282120312,SCALAR,1,1,0.000000,"dtype:S64,XD:X2=0x107b00,XN:X30=0x108218,IMM:0x718,"
SUB_IMM,282120308,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x107ae0,XN:X30=0x108218,IMM:0x738,"
SUB_IMM,282120288,SCALAR,1,1,0.000000,"dtype:S64,XD:X2=0x107ac0,XN:X30=0x108218,IMM:0x758,"
SUB_IMM,282120284,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x107a98,XN:X30=0x108218,IMM:0x780,"
SUB_IMM,282120272,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x107b60,XN:X30=0x108218,IMM:0x6b8,"
MOVX8_XD_IMM,282120252,SCALAR,1,1,0.000000,"XD:X0=0x7ff80,IMM:0xfff0,"
MOV_XD_IMM,282120248,SCALAR,1,1,0.000000,"XD:X1=0,IMM:0,"
INSERT_XD_XN,282120240,SCALAR,1,1,0.000000,"XD:X0=0,XN:X1=0,IMM:0x6,UIMM:0x2,"
SHL,282120440,SCALAR,1,1,0.000000,"dtype:B64,XD:X2=0x100000,DATA_SRC:IMM,IMM:0xf,"
MOV_XD_SPR,282120232,SCALAR,1,1,0.000000,"XD:X0=0,SPR:CTRL,"
ADD_IMM,282120228,SCALAR,1,1,0.000000,"dtype:S64,XD:X30=0x108218,XN:X29=0x107fa0,IMM:0x278,"
MOV_XD_IMM,282120220,SCALAR,1,1,0.000000,"XD:X17=0x8000,IMM:0x8000,"
AND,282120216,SCALAR,1,1,0.000000,"dtype:B64,XD:X15=0,XN:X15=0,XM:X16=0x7fff,"
MOV_XD_IMM,282120212,SCALAR,1,1,0.000000,"XD:X16=0x7fff,IMM:0x7fff,"
MOV_XD_SPR,282120208,SCALAR,1,1,0.000000,"XD:X15=0,SPR:COREID,"
ADD,282120204,SCALAR,1,1,0.000000,"dtype:S64,XD:X29=0x107fa0,XN:X29=0x107fa0,XM:X15=0,"
MOV_XD_SPR,282120200,SCALAR,1,1,0.000000,"XD:X15=0,SPR:SYS_VA_BASE,"
MOV_XD_IMM,282120192,SCALAR,1,1,0.000000,"XD:X29=0x7fa0,IMM:0x7fa0,"
SFF,282120388,SCALAR,1,1,0.000000,"dtype:B64,XD:X0=0x1,XN:X2=0x1,"
SIGNEXT,282120412,SCALAR,1,1,0.000000,"dtype:S8,XD:X0=0x2,XN:X3=0x2,"
SUB_IMM,282120420,SCALAR,1,1,0.000000,"dtype:S64,XD:X2=0x107a88,XN:X30=0x108218,IMM:0x790,"
SBITSET,282120404,SCALAR,1,1,0.000000,"dtype:B64,XD:X2=0x7,XN:X3=0x2,"
SFF,282120400,SCALAR,1,1,0.000000,"dtype:B64,XD:X3=0x2,XN:X2=0x3,"
MOV_XD_IMM,282120428,SCALAR,1,1,0.000000,"XD:X0=0x100,IMM:0x100,"
SIGNEXT,282120396,SCALAR,1,1,0.000000,"dtype:S8,XD:X0=0x1,XN:X0=0x1,"
SHR,282120432,SCALAR,1,1,0.000000,"dtype:U64,XD:X2=0x20,DATA_SRC:IMM,IMM:0xf,"
SBITSET,282120392,SCALAR,1,1,0.000000,"dtype:B64,XD:X2=0x3,XN:X0=0x1,"
MOVK,282120436,SCALAR,1,1,0.000000,"XD:X0=0xfffd0100,IMM:0xfffd,UIMM:0x1,"
SIGNEXT,282120368,SCALAR,1,1,0.000000,"dtype:S8,XD:X0=0,XN:X0=0,"
SBITSET,282120364,SCALAR,1,1,0.000000,"dtype:B64,XD:X2=0x1,XN:X0=0,"
MOV_XD_IMM,282120360,SCALAR,1,1,0.000000,"XD:X2=0,IMM:0,"
NEG,282120444,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0xffffffff0002ff00,XN:X0=0xfffd0100,"
SFF,282120356,SCALAR,1,1,0.000000,"dtype:B64,XD:X0=0,XN:X1=0,"
JUMPCMP,282121244,FLOWCTRL,1,0,0.000000,"TargetPC:0,CMP_dtype:S64,XN:X1=0x1,Condition_op:1,FC_type:IMM,IMM:0xb7CMP_type:IMM,UIMM:0,"
WAIT_FLAG,282121204,MTE1,1,0,0.000000,"PIPE:CUBE,TRIGGERPIPE:MTE1,FLAGID:1,"
NOP,282121980,FLOWCTRL,1,0,0.000000,""
SET_FLAG,282120424,CUBE,1,0,0.000000,"PIPE:CUBE,TRIGGERPIPE:MTE1,FLAGID:2,"
END,282121988,FLOWCTRL,1,0,0.000000,""
SET_FLAG,282120408,CUBE,1,0,0.000000,"PIPE:CUBE,TRIGGERPIPE:MTE1,FLAGID:1,"
WAIT_FLAG,282121216,MTE1,1,0,0.000000,"PIPE:CUBE,TRIGGERPIPE:MTE1,FLAGID:2,"
JUMP,282120544,FLOWCTRL,1,0,0.000000,"TargetPC:0x10d0d164"
MOV_SPR_XN,282120244,SCALAR,1,0,0.000000,"SPR:CTRL,XN:X0=0,"
WAIT_FLAG,282121184,MTE1,1,0,0.000000,"PIPE:CUBE,TRIGGERPIPE:MTE1,FLAGID:0,"
SET_FLAG,282120384,CUBE,1,0,0.000000,"PIPE:CUBE,TRIGGERPIPE:MTE1,FLAGID:0,"
JUMP,282120504,FLOWCTRL,1,0,0.000000,"TargetPC:0x10d0d164"
JUMPC,282120556,FLOWCTRL,1,0,0.000000,"TargetPC:0x10d0d170,cond_flag:1"
JUMPCMP,282120540,FLOWCTRL,1,0,0.000000,"TargetPC:0,CMP_dtype:U64,XN:X3=0x1,Condition_op:2,FC_type:IMM,IMM:0x2CMP_type:REG,XM:X5=0x1,"
